#SampleID	Site	Location	Flower	Batch
48-28	ZUM NP5	ZUM	Lupinus sericeus	1
49-29	ZUM NP5	ZUM	Frasera albicaulis	1
588-499	RDO 8	RDO	Centaurea diffusa	1
589-500	RDO 8	RDO	Machaeranthera canescens	1
Plate-1-Blank	Plate-Blank	Plate-Blank	Plate-Blank	1
BP1-1	Star 3 DE	Star	Monardella odoratissima	1
BP1-2	Star 3 DE	Star	Monardella odoratissima	1
BP1-3	Star 3 DE	Star	Monardella odoratissima	1
BP2-1	Star 3 None	Star	Sidalcea oregana	1
BP2-2	Star 3 None	Star	Sidalcea oregana	1
BP2-3	Star 3 None	Star	Sidalcea oregana	1
BP3-1	Star 3 DE	Star	Hypericum perforatum	1
BP3-2	Star 3 DE	Star	Hypericum perforatum	1
BP3-3	Star 3 DE	Star	Hypericum perforatum	1
BP4-1	Star 3 DE	Star	Hypericum perforatum	1
BP4-2	Star 3 DE	Star	Hypericum perforatum	1
BP4-3	Star 3 DE	Star	Hypericum perforatum	1
BP5-1	Star 3 DE	Star	Monardella odoratissima	1
BP5-2	Star 3 DE	Star	Monardella odoratissima	1
BP5-3	Star 3 DE	Star	Monardella odoratissima	1
BP6-1	Star 2 DE	Star	Solidago missouriensis	1
BP6-2	Star 2 DE	Star	Solidago missouriensis	1
BP6-3	Star 2 DE	Star	Solidago missouriensis	1
BP7-1	Star 3 LS	Star	Solidago missouriensis	1
BP7-2	Star 3 LS	Star	Solidago missouriensis	1
BP7-3	Star 3 LS	Star	Solidago missouriensis	1
BP_8-1	Star 2 LS	Star	Dianthus armeria	1
BP_8-2	Star 2 LS	Star	Dianthus armeria	1
BP_8-3	Star 2 LS	Star	Dianthus armeria	1
BP_9-1	Star 3 DE	Star	Monardella odoratissima	1
BP_9-2	Star 3 DE	Star	Monardella odoratissima	1
BP_9-3	Star 3 DE	Star	Monardella odoratissima	1
BP_10-1	Star 5 LS	Star	Ragwort	1
BP_10-2	Star 5 LS	Star	Ragwort	1
